,article_id,comment_id,comment_text,label
0,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_0,"Que vergüenza!. Pero tambien habra que dar las gracias a todos los que apoyais (tú) a partidos politicos corruptos por permitir que al resto de espaNoles tengamos que pagar los megaproyectos que no aportan nada. Cuanto sarcasmo. Suma toda la corrupción, rescates a Bancos, ... y los compararas en dinero con el Cupo Vasco y los presupuestos. No hay peor ciego que el que no quiere ver",0
1,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_1,"La sede social del Banco Bilbao Vizcaya Argentaria está en Plaza san Nicolas, 4, Bilbao, 48005 , Bizkaia. Pringao.",0
2,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_2,"El Sr. Rajoy no comprende que, cada bajada de pantalones con los nacionalistas, es una humillación para muchos ciudadanos de Madrid, Soria, Murcia... Mil veces preferible volver a las urnas, que pasar este trágala. Malditos políticos.",1
3,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_3,"Así que: lo del 155 solo era una pantalla para sacar más y más al cobarde Sr. Rajoy. ¡Dan ganas de llorar! y Sánchez estará feliz y orgulloso de su NO, aunque el país se desangre. Ninguno de los dos merece un solo voto.",0
4,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_4,"Y la irresponsabilidad del psoe, dando llave de gobierno a los nacionalistas, menos. En vez de negociar mejoras sociales a escala nacional, deja que se pierda dinero en esos chantajistas locales.",1
5,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_5,"Sólo ver a Montoro en TV, se me revuelve el estomago.",0
6,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_6,La mitad del presupuesto del pepe para los funcionarios y la otra mitad para el PNV vasco. La desesperación del Pepe no tienes limites.,0
7,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_7,Cada día lo tengo más claro... no quiero a Potemos... pero al pp hay que echarlo,0
8,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_8,Asco. Espero que pese a todo voten que no los del PNV. Con el 0.5% de los votos tienen secuestrado a todo el país.,0
9,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_9,"Se le da más al que putea más, ¿votar a un partido que se deja chantajear? NOP.",0
10,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_10,"¿Sabéis cual es el auténtico CUPONAZO del país? Pagar por algo y no te den el recibo de la compra, o realizar el trabajito en B por el cuñado del amigo que está cobrando el paro. Luego queremos que el déficit lo pague la comunidad que más presión fiscal ejerce sobre sus ciudadanos. Luego diremos que sobran autonomías y que desde el centro de la misma capital todo se hará mejor, cosa que no se hace en estos momentos y con la actitud que hay tampoco se hará después.",0
11,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_11,"No hay trampa, solo desconocimiento y demagogia. Euskadi gestiona lo que cobra, quitando la parte que le roba el Estado vía cupo. España invierte en Euskadi lo que a España le interesa (puertos, carretera y TAV). Si Euskadi gestionara mal sus recursos, no podría pedir dinero al estado, como sí lo han hecho desastres de gestión como los del PP madrileño o valenciano. Pero estamos de acuerdo. Si Euskadi quiere progresar, no le queda más camino que la independencia.   A usted también este comentario",1
12,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_12,"Estos son mis principios, y, si no les gusta, tengo otros. Nada mejor que el poderoso y chantajista caballero Don Dinero De Todos, y los privilegios forales, para engrasar y facilitar el cambio de conciencias de unos y de otros.",0
13,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_13,Como siempre sigue el gobierno cediendo al chantaje tanto de vascos como de catalanes. Al resto de España que nos den...por ahí. Sinvergüenzas,0
14,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_14,Que vergüenza!. Pero tambien habra que dar las gracias al PSOe por permitir este chantaje.,0
15,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_15,Alguien ha visto el AVE en el pias vasco ?? ahh es que no hay¡¡¡¡¡,0
16,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_16,"No te lo crees ni tu majete, por algo será que el pais vasco tiene la renta per capita mas alta, menos paro, etc. aqui no se gasta en chorradas de cuidades de la justicia, carreras de formula 1, regatas de veleros, ... Mentir es gratis.",0
17,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_17,"Igual es que el Pais Vasco está pagando los desmanes de BANKIA, CAIXA CATALUNYA, CAJAMAR, CAJASUR, CAIXA GALICIA, ETC, ETC. o de esto no se acuerdan algunos ??? Porque que yo sepa, las cajas tenían en sus consejos de administracion a cargos electos que no eran precisamente del PNV... Ahí lo dejo, y no, no busquen porque no hay ninguna caja vasca rescatada. NINGUNA.",0
18,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_18,"y por cierto, a todos vosotros os quiero ver criticar cuando os roban a la cara durante años la pasta que ponemos todos. Si haceis un aeropuerto que vale 70 millones y no se pone en funcionamiento y os quedais cayados, los tontos vosotros. Solidaridad si, pagar al que derrocha el dinero no. Al igual que estaras de acuerdo, que gente de fuera si mientras se integren y curren, sino no pues no. Cada uno que aguante su vela, cuando otros han tirado la pasta, y a los que no la hayan tirado, se sujeta la vela entre todos",0
19,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_19,"si porque desde luego a la policía y guardia civil equiparar no los van a equiparar, se queda en una subida anecdótica de sueldo.",0
20,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_20,"aqui se os olvida que los mas perjudicados por ETA somos los vascos, donde han dejado un reguero de sangre ya ea a vascos o no vascos. Asique el sarcasmo te lo puedes meter por donde te quepa",0
21,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_21,"Y no sería mejor que el pose ceda sus 5 votos?. El dinero de Pnv lo podemos dedicar a pensiones, por ejemplo!!!",1
22,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_22,O un Cupo nazo,0
23,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_23,Eso es porque su vivero de votos está en las provincias vascas. Yo ya no los votaba pero no los volveré a votar jamás.,1
24,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_24,"Y luego se extraña el PP que cada vez tiene menos votos, yo al igual que al PSOE no pienso volver a votarles nunca, vende a todos los españoles sin pudor ninguno ante los separatistas, que deje de decir que defiende España y a los Españoles, junto con el PSOE los traidores y cancer de España",0
25,5ac37fd046163f1e5f8b4579,elmundo_5ac37fd046163f1e5f8b4579_25,"Muy bien explicado,es más el pueblo vasco acabo con ETA",0
